waktu_diambil,tahun,bulan,nama_provinsi,nama_kota,sandi,nama,asset,asd,kyd,Kredit yang Diberikan Tahun Sebelumnya,total_hutang,Total Hutang Tahun Sebelumnya,Laba (Rugi) Tahun-tahun Lalu Saat Ini,Laba (Rugi) Tahun-tahun Lalu Tahun Sebelumnya,laba_saat_ini,laba_tahun_lalu,npl_net,kpmm,kap,ppap,roa,cr,ldr,bopo,direksi,dewan_komisaris
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600137-PT. BPR Artaprima Danajasa,600137-PT. BPR Artaprima Danajasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600335-PD. BPR LPK Cibitung,600335-PD. BPR LPK Cibitung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600337-PD. BPR LPK Sukatani,600337-PD. BPR LPK Sukatani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600338-PD. BPR LPK Setu,600338-PD. BPR LPK Setu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600070-PT. BPR Siwa Raharja Utama,600070-PT. BPR Siwa Raharja Utama,21245962,23419344,16676537,17221177,14203823,16633974,3593700,3150000,4712,191643,20.87,74.38,16.02,194.5,1.76,20.08,83.5,91.1,"POSMA ROHANA PANJAITAN, SE., NURHASANAH","DRS. AGUS BONAFIDE SIMANJUNTAK, BANGUN BATAHAN SIAGIAN"
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600036-PT Bank Perekonomian Rakyat Dana Multi Guna,600036-PT Bank Perekonomian Rakyat Dana Multi Guna,26511069,26782238,17030201,17563429,21189256,21890362,2613432,2323867,209489,69117,21.09,46.32,11.5,100,1.91,11.01,68.33,90.69,"DARHENI CAHYA NOVIYANTI, MUHAMAD ALWIN","BAMBANG WIDIYANTO, RIWANDARI JUNIASTI, Riwandari Juniasti"
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600007-PT Bank Perekonomian Rakyat Cikarang Raharja,600007-PT Bank Perekonomian Rakyat Cikarang Raharja,80276510,91891096,41906928,61300177,79986589,82928813,"-2,685,648","-1,062,302","-7,024,431",24585,54.84,-0.43,36.34,100,-9.26,8.82,69.23,169.59,"DRS MANGSUR, PONIJO","ROY JANUAR SURYANA, JUNUS SURJA, ROY JANUAR SURYANA"
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600131-PT. BPR Artha Sentana Hardja,600131-PT. BPR Artha Sentana Hardja,24716935,26596848,19156905,22522021,21274048,23189916,"-4,147,397","-4,318,210",42292,177150,23.01,31.56,18.93,100,0.15,20.3,94.24,99.36,"Yasmina Wiraatmadja, Firmansyah Whisnu W, Erawati Trihardani","Lutfhi Ridwan, Ira Trinovita"
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600135-PT Bank Perekonomian Rakyat Karya Kurniautama,600135-PT Bank Perekonomian Rakyat Karya Kurniautama,25057800,24642929,16878776,17338514,18697135,18353745,2614110,2604801,246555,184383,7.01,75.15,7.46,100,5.04,20.44,79.83,78.74,"HITMAN BANJARNAHOR, RETNO WULAN AMBARSARI","CHARLES PASARIBU, Kurnia Ria Sianipar,S.E, Rahmad Daud Sianipar,S.Sos, Dr.Syukur T.I Sianipar,S.E,M.M, Berkat Rohani Sianipar,S.S"
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600139-PT. BPR Olympindo Primadana,600139-PT. BPR Olympindo Primadana,73013244,87282677,30657200,47472522,59182541,72883147,11579333,12152979,"-148,630","-153,449",14.84,34.42,7.99,100,-0.77,12.2,46.35,104.49,"LANY, ANA MARTIANY",
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600339-PD. BPR LPK Cibarusah,600339-PD. BPR LPK Cibarusah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:28,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600341-PD. BPR LPK Pondok Gede,600341-PD. BPR LPK Pondok Gede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600103-PT. BPR Sentral Mandiri,600103-PT. BPR Sentral Mandiri,18525487,16313995,13051286,13985265,15104680,15662743,"-4,839,743","-5,074,741",60550,"-274,007",3.69,62.81,7.13,100,3.71,32.45,78.12,84.41,HARYANTO TJAHJADI,FRENKY WITYONO
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601264-PT. BPR Arthamutiara Permai,601264-PT. BPR Arthamutiara Permai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601278-PT. BPR Sekar,601278-PT. BPR Sekar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600098-PT BPR Binadana Makmur,600098-PT BPR Binadana Makmur,6689510,7282785,4292532,3070438,3432939,6739694,"-6,915,710","-6,858,837","-27,719","-98,072",9.1,48.54,11.61,17.92,-0.03,41.73,65.89,102.32,"Ari Zuqnil Fauza, Fatimatuz Zahro","Arisson Hendry, Indra Setiawan, Abdullah Yazid"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,600342-PT. BPR Wibawa Mukti Jabar,600342-PT. BPR Wibawa Mukti Jabar,36598917,43034727,31560039,36578740,28239943,35935278,"-9,776,174","-10,871,599",262899,98799,11.44,23.7,9.6,100,3.47,12.34,98.64,85.79,DEVI PUSPITASARI,"SUHERMAN, PEMDA PROVINSI JAWABARAT, PEMDA KABUPATEN BEKASI, PT BANK JABAR BANTEN"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601257-PT Bank Perekonomian Rakyat Prabu Mitra,601257-PT Bank Perekonomian Rakyat Prabu Mitra,14982325,14617557,6394602,9757102,12319916,11720109,364026,481034,"-341,617",16414,27.88,43.25,17.71,100,-3.34,57.19,46.3,132.18,Dinah Suwarti,Iwan Soetrisna
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601235-PT BPR Talabumi Ekapersada,601235-PT BPR Talabumi Ekapersada,10028022,10609940,4205727,4697636,6096682,6634990,1516010,1488289,"-51,138",20193,22.92,76.09,8.38,100,-0.53,11.41,44.06,101.03,"Gonti Manogap Hutabarat, Wasdan Manalu,Se","Maiyefni Mansyur, Leonardo Siagian, Leonardo Siagian"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601274-PT. BPR Usaha Rakyat,601274-PT. BPR Usaha Rakyat,5269843,5364607,2538931,2530030,1913474,1869460,941435,1109095,14934,"-13,948",15.08,155.56,10.78,97.54,-2.6,138.97,54.24,116.87,Kusuma Candrawati,Nuryanto
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601294-PT. BPR Trisurya Binaartha,601294-PT. BPR Trisurya Binaartha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601307-PT Bank Perekonomian Rakyat Cibitung Tanjung Raya,601307-PT Bank Perekonomian Rakyat Cibitung Tanjung Raya,23800809,25450287,15964605,18503219,17628177,19191980,2993775,2993775,100022,186963,9.93,34.92,8.94,100,0.46,51.33,83.79,88.84,"JAJANG HERDIMAN, SE.MM, ELLY","RICARDO PARLINDUNGAN SIMANJUNTAK, BAC, APRIYANTI, PT BPR CIBITUNG TANJUNGRAYA"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,602060-PT. BPR Sinarenam Permai Jatiasih,602060-PT. BPR Sinarenam Permai Jatiasih,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,602076-PT BPR BOJONEGORO SURYAPERSADA,602076-PT BPR BOJONEGORO SURYAPERSADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601319-PT BPR Gracia Mandiri,601319-PT BPR Gracia Mandiri,26512014,23438372,17072142,15395369,19155478,16268898,"-2,779,411","-2,648,275",280344,"-37,854",35.35,27.64,25.16,100,0.78,21.69,77.16,94.84,"Ramsius Simamora, Chris Raeval","Kalvin Sihol, SE.MM, Cyrus Yohn Panjaitan, Basirun Sianipar.SE.MM"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601315-PT Bank Perekonomian Rakyat Prismaberlian Danarta,601315-PT Bank Perekonomian Rakyat Prismaberlian Danarta,30634820,28064923,18750429,19863222,25486061,22880515,2661161,2618584,87598,165824,11.84,28.11,9.37,100,0.33,33.38,78.01,94.12,"SURYA BUDIMAN, AGUSTINA","LEON KURNIAWAN, DJONI OSCKAR"
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,602083-PT BPR INTI DAYA MASYARAKAT,602083-PT BPR INTI DAYA MASYARAKAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601465-PT. BPR Citra Artha Sedana,601465-PT. BPR Citra Artha Sedana,74301372,53955104,59397886,42710062,65094165,46231130,0,0,964992,338850,0.57,15.17,1.61,159.04,5.33,20.68,87.09,83.63,"Drs Heri Susanto, Eva Rani SE, Ramdhani Dwi Atmadja",Irmayanti
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,602095-PD BPR Banyuresmi,602095-PD BPR Banyuresmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5/21/2025 19:29,2021,Maret,Provinsi Jawa Barat,Kab. Bekasi,601793-PT BPR Harapan Saudara,601793-PT BPR Harapan Saudara,40439980,44270920,23785089,31909012,34894804,37137048,4702437,4341566,"-1,557,261",392306,24.35,18.99,16.93,100,-3.85,19.94,69.32,196,,"WIDYA RUMADJA, PT BPR SAUDARA JAYA ABADI, '', '', '', '', '', '', '', '', ''"
